Name,Style,Manufacturer,Location,ABV,Ratings,Description
Old Cellar Dweller, Barleywine - American, Driftwood Brewery, Victoria,11.6%,4.13,"Malts - Pale, Pilsner, Crystal Hops - Columbus, CascadeDescriptionThis ale shows huge malt body, with notes of caramel and toffee, complemented by ample hop bitterness to support it. When young, it is a hoppy treat with plenty of citrus and pine; cellared for a few years and Cellar Dweller gracefully ages into a rich, round reward for patience, hinting at flavours of tawny port."
Thor's Hammer Barley Wine, Barleywine - English, Central City Brewers + Distillers, Surrey,11.5%,4.12,"Matured for nearly a year, this award-winning barley wine is mahogany in colour and crafted from fine barley malt exuding deep, rich notes of dried fruit, plum and candy with a walnut ester."
Hopnotist, IPA - Imperial, Parallel 49 Brewing Company, Vancouver,8.5%,4.19,Parallel 49's first anniversary ale. Single hopped double IPA brewed exclusively with Mosaic hops.86 IBU
Flagship India Pale Ale, IPA - American, Steamworks Brewing Company, Vancouver,6.7%,4.12,Parallel 49's first anniversary ale. Single hopped double IPA brewed exclusively with Mosaic hops.86 IBU
Vexillum, IPA - Imperial, Four Winds Brewing Co., Delta,9%,4.24,"Vexillum, an ancient Imperial Roman symbol for strength and nobility. This insistently hoppy IPA reveals notes of Grapefruit and Melon while finishing bitter, yet affably balanced.100 IBUs"
Twenty Pounder, IPA - Imperial, Driftwood Brewery, Victoria,9%,4.11,"Stand up and be counted for what you are about to receive: an explosive ordnance of IBU's! This Canadian citrus hop bomb is sure to satisfy the most die-hard of hop heads. For those who crave the hop, we salute you!"
Play Dead IPA, IPA - American, Yellow Dog Brewing, Port Moody,6.8%,4.11,"Stand up and be counted for what you are about to receive: an explosive ordnance of IBU's! This Canadian citrus hop bomb is sure to satisfy the most die-hard of hop heads. For those who crave the hop, we salute you!"
Back Hand Of God Stout, Stout - Irish Dry, Crannóg Ales, Sorrento,5.2%,4.14,"Lean in body and powerful in flavour, Back Hand of God Stout has won many consumers' choice awards. This dry stout is easy to drink, rich and inviting. It is extraordinarily smooth and mildly hopped with a distinct coffee/chocolate presence.18 IBU"
Pothole Filler Imperial Stout, Stout - Russian Imperial, Howe Sound Inn & Brewing Company, Squamish,9%,4.06,"This beer is a strong, inky dark ale, brewed with 6 malts and blackstrap molasses. It is a thick beer, with an intense roasted barley flavour, with notes of chocolate and licorice.65 IBU"
Blackstone Porter, Porter - English, Driftwood Brewery, Victoria,6%,4.08,This London-style porter is distinguished by a bittersweet chocolate character derived from the delicate balance of a traditional sour mash and a blend of select black and chocolate malts.
Sovereign Super Saison, Farmhouse Ale - Saison, Four Winds Brewing Co., Delta,8.5%,4.2,This London-style porter is distinguished by a bittersweet chocolate character derived from the delicate balance of a traditional sour mash and a blend of select black and chocolate malts.
Phaedra, IPA - Belgian, Four Winds Brewing Co., Delta,7.2%,4.14,This London-style porter is distinguished by a bittersweet chocolate character derived from the delicate balance of a traditional sour mash and a blend of select black and chocolate malts.
Four Winds IPA, IPA - American, Four Winds Brewing Co., Delta,7%,4.07,This London-style porter is distinguished by a bittersweet chocolate character derived from the delicate balance of a traditional sour mash and a blend of select black and chocolate malts.
Happyness, IPA - American, Superflux, Vancouver,7.5%,4.19,This London-style porter is distinguished by a bittersweet chocolate character derived from the delicate balance of a traditional sour mash and a blend of select black and chocolate malts.
Belgian Black, Strong Ale - Belgian Dark, Lighthouse Brewing Company, Victoria,9%,4.18,"Belgian Black was fermented with a Belgian Ardennes yeast strain. Enjoy the rich malty features of plum and dark cherries backed with subtle spicy notes. Lighthouse Brewing Co. is a premium craft brewery dedicated to producing unique, high quality, unpasteurized beers."
Saison Brett, Farmhouse Ale - Saison, Four Winds Brewing Co., Delta,7%,4.25,"Aged in Okanagan red wine barrels, our Saison Brett is invigorated with wild yeast strain Brettanomyces, inviting hues of straw and earth."
Shipwreck IPA, IPA - American, Lighthouse Brewing Company, Victoria,6.5%,4.04,Formerly Switchback IPA
Juicy AF, IPA - New England, Boombox Brewing Company, Vancouver,7.5%,4.35,Formerly Switchback IPA
Pablo Esco Gnar, IPA - American, Superflux, Vancouver,6.5%,4.5,Formerly Switchback IPA
Cabin Fever Imperial Black Ale, IPA - Black / Cascadian Dark Ale, Phillips Brewing Company, Victoria,8.5%,4.09,Formerly Switchback IPA
The Hammer - Barrel Aged, Stout - Russian Imperial, Phillips Brewing Company, Victoria,8.3%,4.09,"Smooth with oak and smoke notes, this special version of the Hammer is aged in Bourbon barrels, yielding a more mellow version of the Imperial Stout.2017 NotesThis year’s vintage was carefully aged in freshly emptied bourbon barrels. It pours a deep earthy brown colour and features a full-bodied, roasted flavour profile with hints of dark chocolate, vanilla and coconut. This beer pairs beautifully with dark winter nights, or if you have the patience, is a great candidate to make disappear for awhile in your beer cellar gulag."
Imperial Flanders Red Ale, Sour - Flanders Red Ale, Storm Brewing, Vancouver,11%,4.12,"The next generation of Storm Brewing's award winning Belgian style sours. This crimson hued monster is aged at least a year in the same oak barrels that produced James` insane 12 year aged Lambic. And like the Lambic this beer is not for the faint of heart. Notes of oak, barnyard and goat complement its high ABV and puckering yet malty sourness."
Alpha Dog, Pale Ale - American, Yellow Dog Brewing, Port Moody,5.5%,4.21,Fresh Citra Pale Ale
High 5 Hazy IPA, IPA - New England, Yellow Dog Brewing, Port Moody,7%,4.12,Fresh Citra Pale Ale
Widowmaker, IPA - American, Backcountry Brewing, Squamish,6.7%,4.2,Fresh Citra Pale Ale
Woolly Bugger, Barleywine - English, Howe Sound Inn & Brewing Company, Squamish,11%,4.03,Fresh Citra Pale Ale
Amnesiac Double IPA, IPA - Imperial, Phillips Brewing Company, Victoria,8.5%,3.99,"Uh, we forget...Oh Yeah, this is a big beer. Mind blowing amounts of hops give this beer tons of flavour and aroma. Not for the faint of heart. The bigger, meaner cousin to the Hop Circle IPA."
Numbskull, IPA - Imperial, Lighthouse Brewing Company, Victoria,9.1%,4.06,"Uh, we forget...Oh Yeah, this is a big beer. Mind blowing amounts of hops give this beer tons of flavour and aroma. Not for the faint of heart. The bigger, meaner cousin to the Hop Circle IPA."
Black Plague Stout, Stout - Oatmeal, Storm Brewing, Vancouver,8.5%,4.12,"We start with Canadian two row barley, followed by loads of roast barley and oats, a light addition of Pacific Northwest Columbus hops and finish it off with some fresh liquorice root and decadent dark cocoa for a little chocolaty mouth feel. Brewed in small batches (even by our micro brewing standards), the result is a smooth, rich, roasty and always fresh stout sure to cure what ale's ya. This once seasonal favourite is available year round for you thirsty hoards looking to fend off the plague of boring beer."
Rainbow Machine, IPA - American, Superflux, Vancouver,7.5%,4.29,"We start with Canadian two row barley, followed by loads of roast barley and oats, a light addition of Pacific Northwest Columbus hops and finish it off with some fresh liquorice root and decadent dark cocoa for a little chocolaty mouth feel. Brewed in small batches (even by our micro brewing standards), the result is a smooth, rich, roasty and always fresh stout sure to cure what ale's ya. This once seasonal favourite is available year round for you thirsty hoards looking to fend off the plague of boring beer."
